Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
Nick Maton,L,BAL,27,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-0.1117
Sandro Fabian,R,TEX,26,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,-0.1127
Tyler Gentry,R,KCR,25,3,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,-0.1154
Brett Sullivan,L,SDP,30,7,17,16,3,0,0,1,1,2,4,1,0,0,0,0,0,0,1.473,2,0.188,0.235,0.375,0.61,0.265,-0.1155
Jair Camargo,R,MIN,24,5,7,6,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0.037,,0,0.143,0,0.143,0.098,-0.1177
Jerar Encarnacion,R,SFG,26,35,119,113,28,5,0,5,13,19,34,5,1,0,0,0,0,1,13.96,973,0.248,0.277,0.425,0.702,0.301,-0.121
Luken Baker,R,STL,27,21,49,40,7,1,1,2,3,10,11,7,1,0,1,0,0,2,5.142,,0.175,0.286,0.4,0.686,0.294,-0.1229
Grant Koch,R,PIT,27,3,8,7,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0.032,2,0,0.125,0,0.125,0.086,-0.1232
Taylor Trammell,L,- - -,26,10,8,7,1,0,0,0,2,0,3,1,0,0,0,0,0,0,0.315,79,0.143,0.25,0.143,0.393,0.196,-0.1241
Tony Kemp,L,BAL,32,5,10,9,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.026,4,0,0.1,0,0.1,0.069,-0.1305
Rob Brantly,L,TBR,34,3,9,9,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.111,2,0.111,0.111,0.111,0.222,0.098,-0.1348
Andrew Knapp,B,SFG,32,3,6,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.167,2,0.167,0.167,0.167,0.334,0.147,-0.1368
Duke Ellis,L,- - -,26,11,5,5,1,0,0,0,1,0,2,0,5,0,0,0,0,0,0.72,87,0.2,0.2,0.2,0.4,0.176,-0.1381
Andrew Vaughn,R,CHW,26,149,619,570,140,30,1,19,55,70,132,38,2,0,13,6,0,5,67.428,3,0.246,0.297,0.402,0.699,0.304,-0.1402
Bubba Thompson,R,CIN,26,17,18,18,2,1,0,0,5,0,11,0,5,0,1,0,0,0,0.311,8,0.111,0.111,0.167,0.278,0.119,-0.1427
Josh Bell,B,- - -,31,145,603,538,134,23,2,19,62,71,120,51,0,1,22,6,0,3,65.773,3,0.249,0.319,0.405,0.724,0.317,-0.1428
Austin Slater,R,- - -,31,84,212,177,37,4,0,2,24,18,60,26,3,2,5,5,0,4,16.89,978,0.209,0.321,0.266,0.587,0.273,-0.143
Jared Walsh,L,TEX,30,17,60,53,12,2,0,1,9,7,21,7,0,0,2,0,0,0,5.332,3,0.226,0.317,0.321,0.638,0.289,-0.1433
Kevin Alcantara,R,CHC,21,3,10,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.1,9,0.1,0.1,0.1,0.2,0.088,-0.1476
Trey Cabbage,L,HOU,27,45,91,86,18,8,0,1,12,8,34,4,1,1,1,1,0,0,7.112,97,0.209,0.253,0.337,0.59,0.258,-0.1484
Danny Mendick,R,CHW,30,47,141,132,26,7,0,3,13,8,35,6,6,0,3,2,1,0,10.492,54,0.197,0.243,0.318,0.561,0.247,-0.1489
Luis De Los Santos,R,TOR,26,13,31,29,5,2,0,0,2,1,10,2,0,0,2,0,0,0,1.213,5,0.172,0.226,0.241,0.467,0.211,-0.1507
